Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted
Baseline - Random,0.5476190476190477,0.5494520876659735,0.5476190476190476,0.5480723319703105
Baseline - Majority,0.5317460317460317,0.2827538422776518,0.5317460317460317,0.3691915453573484
Word2Vec + MLP,0.5317460317460317,0.5268107242897159,0.5317460317460317,0.5241517056223551
Word2Vec + CNN,0.5317460317460317,0.2827538422776518,0.5317460317460317,0.3691915453573484
VADER + CNN,0.5317460317460317,0.2827538422776518,0.5317460317460317,0.3691915453573484
VADER + Logistic Regression,0.5264550264550265,0.4999886621315193,0.5264550264550265,0.4183892588212892
VADER + Random Forest,0.5211640211640212,0.4790868853368853,0.5211640211640212,0.4084493101765658
Word2Vec + KNN,0.5105820105820106,0.5012644743689826,0.5105820105820106,0.4950194046378995
Word2Vec + Linear SVM,0.5079365079365079,0.4907403862107695,0.5079365079365079,0.4723440758735596
BERT,0.5079365079365079,,,0.5303030303030303
Mistral - Zero Shot,0.5033112582781457,0.2533222227095303,0.5033112582781457,0.3370189923272165
Mistral - Three Shot,0.5033112582781457,0.2533222227095303,0.5033112582781457,0.3370189923272165
Mistral - One Shot,0.5033112582781457,0.2533222227095303,0.5033112582781457,0.3370189923272165
Word2Vec + Logistic Regression,0.5026455026455027,0.4531483864817198,0.5026455026455027,0.4162541353552589
Bag of Words + CNN,0.4682539682539682,0.4531746031746032,0.4682539682539682,0.4502447443623914
Baseline - Previous Day Momentum,0.4365079365079365,0.4355089292434065,0.4365079365079365,0.4359327138696766
Word2Vec + Naive Bayes,0.4179894179894179,0.4201143183795252,0.4179894179894179,0.4026497841747442
