Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted
Word2Vec + Multi-Layer Perceptron,0.5501285347043702,0.5668247090311117,0.5501285347043702,0.5341680691509976
Mistral - Zero Shot,0.5141388174807198,0.4274833393271797,0.5141388174807198,0.3554020057957724
Mistral - One Shot,0.5141388174807198,0.2663451090557337,0.5141388174807198,0.3509062896897272
Bag of Words + KNN,0.5089974293059126,0.509599636311003,0.5089974293059126,0.5091337422779134
BERT,0.5038560411311054,,,0.6085192697768763
Word2Vec + KNN,0.4987146529562982,0.5036563446176355,0.4987146529562982,0.4909719919529955
Word2Vec + Linear SVM,0.4987146529562982,0.513902442575353,0.4987146529562982,0.4518083259181469
Baseline - Random,0.4987146529562982,0.4993159086075101,0.4987146529562982,0.4988538206502257
Bag of Words + CNN,0.493573264781491,0.49795846471011,0.493573264781491,0.4864024291694978
Word2Vec + Logistic Regression,0.4910025706940874,0.5200139861517399,0.4910025706940874,0.3805609513934043
VADER + CNN,0.4858611825192802,0.7508811915299606,0.4858611825192802,0.3205972268177974
Baseline - Majority,0.4832904884318766,0.2335696962087218,0.4832904884318766,0.3149345297233719
Word2Vec + CNN,0.4832904884318766,0.2335696962087218,0.4832904884318766,0.3149345297233719
Baseline - Momentum,0.480719794344473,0.4821657330528741,0.480719794344473,0.4804108951104616
Bag of Words + Logistic Regression,0.4781491002570694,0.4812205789069543,0.4781491002570694,0.4725957573490069
VADER + Logistic Regression,0.4781491002570694,0.4534263679764964,0.4781491002570694,0.3378708188259035
VADER + Random Forest,0.4755784061696658,0.4440146404361563,0.4755784061696658,0.34041784728796826
Bag of Words + Multilayer Perceptron,0.4704370179948586,0.4732388100665068,0.4704370179948586,0.4626018640109012
Bag of Words + Naive Bayes,0.4601542416452442,0.4622411623111651,0.4601542416452442,0.4562826321372814
Mistral - Three Shot,0.45625,0.2081640625,0.45625,0.2858905579399141
Word2Vec + Naive Bayes,0.455012853470437,0.4508407850546141,0.455012853470437,0.4189546994243256
