Model,Year,Accuracy,N
BERT,2008,0.4666666666666667,15
BERT,2009,0.4666666666666667,45
BERT,2010,0.3953488372093023,43
BERT,2011,0.62,50
BERT,2012,0.5869565217391305,46
BERT,2013,0.5,48
BERT,2014,0.4655172413793103,58
BERT,2015,0.6129032258064516,62
BERT,2016,0.4090909090909091,22
Bag of Words + CNN,2008,0.6,15
Bag of Words + CNN,2009,0.5333333333333333,45
Bag of Words + CNN,2010,0.5581395348837209,43
Bag of Words + CNN,2011,0.38,50
Bag of Words + CNN,2012,0.5217391304347826,46
Bag of Words + CNN,2013,0.5416666666666666,48
Bag of Words + CNN,2014,0.5,58
Bag of Words + CNN,2015,0.4193548387096774,62
Bag of Words + CNN,2016,0.5,22
Bag of Words + KNN,2008,0.4666666666666667,15
Bag of Words + KNN,2009,0.4444444444444444,45
Bag of Words + KNN,2010,0.5348837209302325,43
Bag of Words + KNN,2011,0.46,50
Bag of Words + KNN,2012,0.5869565217391305,46
Bag of Words + KNN,2013,0.6458333333333334,48
Bag of Words + KNN,2014,0.4827586206896552,58
Bag of Words + KNN,2015,0.4838709677419355,62
Bag of Words + KNN,2016,0.4090909090909091,22
Bag of Words + Logistic Regression,2008,0.5333333333333333,15
Bag of Words + Logistic Regression,2009,0.5111111111111111,45
Bag of Words + Logistic Regression,2010,0.5581395348837209,43
Bag of Words + Logistic Regression,2011,0.4,50
Bag of Words + Logistic Regression,2012,0.4782608695652174,46
Bag of Words + Logistic Regression,2013,0.3958333333333333,48
Bag of Words + Logistic Regression,2014,0.4482758620689655,58
Bag of Words + Logistic Regression,2015,0.5483870967741935,62
Bag of Words + Logistic Regression,2016,0.4545454545454545,22
Bag of Words + Multilayer Perceptron,2008,0.3333333333333333,15
Bag of Words + Multilayer Perceptron,2009,0.5111111111111111,45
Bag of Words + Multilayer Perceptron,2010,0.5348837209302325,43
Bag of Words + Multilayer Perceptron,2011,0.46,50
Bag of Words + Multilayer Perceptron,2012,0.4782608695652174,46
Bag of Words + Multilayer Perceptron,2013,0.4583333333333333,48
Bag of Words + Multilayer Perceptron,2014,0.4482758620689655,58
Bag of Words + Multilayer Perceptron,2015,0.4516129032258064,62
Bag of Words + Multilayer Perceptron,2016,0.5,22
Bag of Words + Naive Bayes,2008,0.6,15
Bag of Words + Naive Bayes,2009,0.5333333333333333,45
Bag of Words + Naive Bayes,2010,0.4883720930232558,43
Bag of Words + Naive Bayes,2011,0.54,50
Bag of Words + Naive Bayes,2012,0.4782608695652174,46
Bag of Words + Naive Bayes,2013,0.4166666666666667,48
Bag of Words + Naive Bayes,2014,0.3793103448275862,58
Bag of Words + Naive Bayes,2015,0.3870967741935484,62
Bag of Words + Naive Bayes,2016,0.4545454545454545,22
Baseline - Majority,2008,0.5333333333333333,15
Baseline - Majority,2009,0.5333333333333333,45
Baseline - Majority,2010,0.6046511627906976,43
Baseline - Majority,2011,0.38,50
Baseline - Majority,2012,0.4130434782608695,46
Baseline - Majority,2013,0.5,48
Baseline - Majority,2014,0.5344827586206896,58
Baseline - Majority,2015,0.3870967741935484,62
Baseline - Majority,2016,0.5909090909090909,22
Baseline - Momentum,2008,0.4666666666666667,15
Baseline - Momentum,2009,0.4666666666666667,45
Baseline - Momentum,2010,0.6046511627906976,43
Baseline - Momentum,2011,0.5,50
Baseline - Momentum,2012,0.4565217391304347,46
Baseline - Momentum,2013,0.5416666666666666,48
Baseline - Momentum,2014,0.4137931034482758,58
Baseline - Momentum,2015,0.4677419354838709,62
Baseline - Momentum,2016,0.3636363636363636,22
Baseline - Random,2008,0.4666666666666667,15
Baseline - Random,2009,0.4888888888888889,45
Baseline - Random,2010,0.6046511627906976,43
Baseline - Random,2011,0.54,50
Baseline - Random,2012,0.5434782608695652,46
Baseline - Random,2013,0.375,48
Baseline - Random,2014,0.3793103448275862,58
Baseline - Random,2015,0.5483870967741935,62
Baseline - Random,2016,0.5909090909090909,22
Mistral - One Shot,2008,0.4666666666666667,15
Mistral - One Shot,2009,0.4666666666666667,45
Mistral - One Shot,2010,0.3953488372093023,43
Mistral - One Shot,2011,0.6,50
Mistral - One Shot,2012,0.5869565217391305,46
Mistral - One Shot,2013,0.5,48
Mistral - One Shot,2014,0.4655172413793103,58
Mistral - One Shot,2015,0.6129032258064516,62
Mistral - One Shot,2016,0.4090909090909091,22
Mistral - Zero Shot,2008,0.4666666666666667,15
Mistral - Zero Shot,2009,0.4666666666666667,45
Mistral - Zero Shot,2010,0.3720930232558139,43
Mistral - Zero Shot,2011,0.6,50
Mistral - Zero Shot,2012,0.5869565217391305,46
Mistral - Zero Shot,2013,0.5,48
Mistral - Zero Shot,2014,0.4655172413793103,58
Mistral - Zero Shot,2015,0.6129032258064516,62
Mistral - Zero Shot,2016,0.4545454545454545,22
VADER + CNN,2008,0.5333333333333333,15
VADER + CNN,2009,0.5333333333333333,45
VADER + CNN,2010,0.6046511627906976,43
VADER + CNN,2011,0.4,50
VADER + CNN,2012,0.4130434782608695,46
VADER + CNN,2013,0.5,48
VADER + CNN,2014,0.5344827586206896,58
VADER + CNN,2015,0.3870967741935484,62
VADER + CNN,2016,0.5909090909090909,22
VADER + Logistic Regression,2008,0.5333333333333333,15
VADER + Logistic Regression,2009,0.5111111111111111,45
VADER + Logistic Regression,2010,0.627906976744186,43
VADER + Logistic Regression,2011,0.38,50
VADER + Logistic Regression,2012,0.4130434782608695,46
VADER + Logistic Regression,2013,0.4791666666666667,48
VADER + Logistic Regression,2014,0.5172413793103449,58
VADER + Logistic Regression,2015,0.3870967741935484,62
VADER + Logistic Regression,2016,0.5909090909090909,22
VADER + Random Forest,2008,0.7333333333333333,15
VADER + Random Forest,2009,0.4444444444444444,45
VADER + Random Forest,2010,0.46511627906976744,43
VADER + Random Forest,2011,0.46,50
VADER + Random Forest,2012,0.3695652173913043,46
VADER + Random Forest,2013,0.5208333333333334,48
VADER + Random Forest,2014,0.4827586206896552,58
VADER + Random Forest,2015,0.5,62
VADER + Random Forest,2016,0.45454545454545453,22
Word2Vec + CNN,2008,0.5333333333333333,15
Word2Vec + CNN,2009,0.5333333333333333,45
Word2Vec + CNN,2010,0.6046511627906976,43
Word2Vec + CNN,2011,0.38,50
Word2Vec + CNN,2012,0.4130434782608695,46
Word2Vec + CNN,2013,0.5,48
Word2Vec + CNN,2014,0.5344827586206896,58
Word2Vec + CNN,2015,0.3870967741935484,62
Word2Vec + CNN,2016,0.5909090909090909,22
Word2Vec + KNN,2008,0.6,15
Word2Vec + KNN,2009,0.5111111111111111,45
Word2Vec + KNN,2010,0.5581395348837209,43
Word2Vec + KNN,2011,0.4,50
Word2Vec + KNN,2012,0.4782608695652174,46
Word2Vec + KNN,2013,0.5625,48
Word2Vec + KNN,2014,0.5344827586206896,58
Word2Vec + KNN,2015,0.4193548387096774,62
Word2Vec + KNN,2016,0.5454545454545454,22
Word2Vec + Linear SVM,2008,0.8,15
Word2Vec + Linear SVM,2009,0.5111111111111111,45
Word2Vec + Linear SVM,2010,0.5813953488372093,43
Word2Vec + Linear SVM,2011,0.44,50
Word2Vec + Linear SVM,2012,0.4347826086956521,46
Word2Vec + Linear SVM,2013,0.5208333333333334,48
Word2Vec + Linear SVM,2014,0.4655172413793103,58
Word2Vec + Linear SVM,2015,0.4677419354838709,62
Word2Vec + Linear SVM,2016,0.5,22
Word2Vec + Logistic Regression,2008,0.8,15
Word2Vec + Logistic Regression,2009,0.5777777777777777,45
Word2Vec + Logistic Regression,2010,0.5813953488372093,43
Word2Vec + Logistic Regression,2011,0.4,50
Word2Vec + Logistic Regression,2012,0.391304347826087,46
Word2Vec + Logistic Regression,2013,0.4791666666666667,48
Word2Vec + Logistic Regression,2014,0.5172413793103449,58
Word2Vec + Logistic Regression,2015,0.3870967741935484,62
Word2Vec + Logistic Regression,2016,0.5909090909090909,22
Word2Vec + Multi-Layer Perceptron,2008,0.5333333333333333,15
Word2Vec + Multi-Layer Perceptron,2009,0.5333333333333333,45
Word2Vec + Multi-Layer Perceptron,2010,0.5581395348837209,43
Word2Vec + Multi-Layer Perceptron,2011,0.6,50
Word2Vec + Multi-Layer Perceptron,2012,0.5434782608695652,46
Word2Vec + Multi-Layer Perceptron,2013,0.6875,48
Word2Vec + Multi-Layer Perceptron,2014,0.5344827586206896,58
Word2Vec + Multi-Layer Perceptron,2015,0.4354838709677419,62
Word2Vec + Multi-Layer Perceptron,2016,0.5454545454545454,22
Word2Vec + Naive Bayes,2008,0.4666666666666667,15
Word2Vec + Naive Bayes,2009,0.4222222222222222,45
Word2Vec + Naive Bayes,2010,0.5116279069767442,43
Word2Vec + Naive Bayes,2011,0.46,50
Word2Vec + Naive Bayes,2012,0.4565217391304347,46
Word2Vec + Naive Bayes,2013,0.4791666666666667,48
Word2Vec + Naive Bayes,2014,0.4655172413793103,58
Word2Vec + Naive Bayes,2015,0.3548387096774194,62
Word2Vec + Naive Bayes,2016,0.5909090909090909,22
